Date,Open,High,Low,Close,Adj Close,Volume,Change
2021-11-02,330.309998,333.450012,330.000000,333.130005,332.521667,26487109,0.008537
2021-11-03,333.899994,334.899994,330.649994,334.000000,333.390045,21500082,0.000300
2021-11-04,332.890015,336.540009,329.510010,336.440002,335.825592,23992202,0.010664
2021-11-05,338.510010,338.790009,334.421692,336.059998,335.446289,22570098,-0.007238
2021-11-08,337.299988,337.649994,334.440002,336.989990,336.374603,20897001,-0.000919
2021-11-09,337.107086,338.720001,334.529999,335.950012,335.336517,21307370,-0.003432
2021-11-10,334.570007,334.630310,329.920013,330.799988,330.195892,25500938,-0.011268
2021-11-11,331.250000,333.774597,330.510010,332.429993,331.822906,16849844,0.003562
2021-11-12,333.920013,337.230011,333.790009,336.720001,336.105103,23831049,0.008385
2021-11-15,337.540009,337.880005,334.033997,336.070007,335.456299,16723009,-0.004355
2021-11-16,335.679993,340.670013,335.510010,339.510010,338.890015,20886832,0.011410
2021-11-17,338.940002,342.190002,338.000000,339.119995,339.119995,19053380,0.000531
2021-11-18,338.179993,342.450012,337.119995,341.269989,341.269989,22463533,0.009137
2021-11-19,342.640015,345.100006,342.200012,343.109985,343.109985,21963403,0.001372
2021-11-22,344.619995,349.670013,339.549988,339.829987,339.829987,31031113,-0.013899
2021-11-23,337.049988,339.450012,333.559998,337.679993,337.679993,30427563,0.001869
2021-11-24,336.279999,338.160004,333.911011,337.910004,337.910004,21661307,0.004847
2021-11-26,334.350006,337.929993,328.119995,329.679993,329.679993,24217242,-0.013967
2021-11-29,334.940002,339.029999,334.739990,336.630005,336.630005,28563481,0.005046
2021-11-30,335.320007,337.779999,328.989990,330.589996,330.589996,42885609,-0.014106
2021-12-01,335.130005,339.279999,329.390015,330.079987,330.079987,33401146,-0.015069
2021-12-02,330.299988,333.489990,327.802795,329.489990,329.489990,30765980,-0.002452
2021-12-03,331.989990,332.700012,318.029999,323.010010,323.010010,41779279,-0.027049
2021-12-06,323.950012,327.450012,319.230011,326.190002,326.190002,30032556,0.006915
2021-12-07,331.640015,335.799988,330.100006,334.920013,334.920013,31021936,0.009890
2021-12-08,335.309998,335.500000,330.799988,334.970001,334.970001,24760988,-0.001014
2021-12-09,334.410004,336.489014,332.119995,333.100006,333.100006,21561374,-0.003917
2021-12-10,334.980011,343.000000,334.790009,342.540009,342.540009,36582109,0.022569
